title,genre,director,country,year,imdb_id
38-я параллель (фильм),драма боевик военный,Кан Джегю,Республика Корея,2004,tt0386064
36 безумных кулаков,боевик комедия,Чэнь Чжихуа,Гонконг,1977,tt0076661
33 (фильм),драма,Патрисия Ригген,США Чили Колумбия,2015,tt2006295
34-й скорый,Фильм-катастрофа приключенческий фильм драма,Андрей Малюков,СССР,1981,tt0081967
32-е августа на Земле,"драма , мелодрама",Дени Вильнёв,Канада,1998,tt0156248
32 декабря (фильм),"комедия , фантастика мелодрама",Александр Муратов,Россия,2004,tt0417390
31-й километр,"ужасы , мистика",Ригоберто Кастаньеда,Мексика Испания,2006,tt0460485
31 июня (фильм),"музыкальный фильм ( мюзикл ), фэнтези",Леонид Квинихидзе,СССР,1978,tt0077114
31 (фильм),Фильм ужасов,Роб Зомби,США,2016,tt3835080
30 свиданий,комедия мелодрама,Таисия Игуменцева,Россия,2016,tt5437194
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,комедийный фильм ужасов,Крэйг Мосс,США,2012,tt2417650
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,2007,tt0389722
30 дней до рассвета,фильм ужасов комедия,Андерс Банке,Швеция,2006,tt0454457
30 безумных желаний,независимый кинематограф,Питер Хатчингс [вд],США,2018,tt4859168
"29-я улица (фильм, 1991)",комедия драма,Джордж Галло,США,1991,tt0101252
"29 пальм (фильм, 2003)",драма роуд-муви,Брюно Дюмон,Франция Германия США,2003,tt0315110
"Аватар, или Замена душ",фантастика драма,Януш Маевский,Польша,1964,tt0932937
Аватар 4,эпический фильм научная фантастика боевик приключения фэнтези,Джеймс Кэмерон,США,2029,tt3095356
"Аватар (фильм, 2009)",эпический фильм научная фантастика приключенческий боевик [ 1 ] драма,Джеймс Кэмерон,США [ 3 ] [ 9 ] [ 10 ] Великобритания [ 3 ],2009,tt0499549
"Аватар (фильм, 1916)",мистическая драма,Кармине Галлоне,Италия,1916,tt0278325
"Авария (фильм, 1997)",триллер,Джонатан Мостоу,США,1997,tt0118771
"Авария (фильм, 1990)",детектив,Джеймс Аллен,ЮАР США Заир,1990,tt0096995
"Авария (фильм, 1974)",детектив драма,Витаутас Жалакявичюс,СССР,1974,tt1753465
"Авария (фильм, 1976)",боевик,Серджиу Николаеску,Румыния,1976,tt0074090
"Авария (фильм, 1965)",Детектив,Александр Абрамов Наум Бирман,СССР,1965,tt0147861
Авария — дочь мента,драма,Михаил Туманишвили,СССР,1989,tt0096858
Аварийный выход (фильм),комедия,Роман Залуски,Польша,1982,tt0084923
"Авантюристы (фильм, 2014)",приключения,Константин Буслов,Россия,2014,tt3684498
"Авантюристы (фильм, 1984)","драма , комедия , боевик , военный , приключения",Анри Вернёй,Франция,1984,tt0087742
"Авантюристы (фильм, 1951)",приключенческий фильм,Дэвид Макдональд,Великобритания,1951,tt0043263
Авантюрист (фильм),военная драма [ 1 ] приключенческий фильм,Чжан Пэйчэн [кит.],Китайская Республика,1976,tt1399203
Авантюра леди Хелен,короткометражный фильм,Дэвид Уорк Гриффит,США,1909,tt0000933
"Авантюра (фильм, 1995)","комедия , шпионский фильм",Виталий Макаров,Россия Украина,1995,tt0112422
Актриса (фильм),мелодрама комедия военный фильм,Леонид Трауберг,СССР,1942,tt0035620
Активная зона (фильм),драма,Леонид Пчёлкин,СССР,1979,tt0078745
"Актёры (фильм, 2003)","комедия, криминал",Конор МакФерсон,Великобритания Германия Ирландия,2003,tt0307919
Актёры (фильм),комедия,Бертран Блие,Франция,2000,tt0211900
Актёр Йоллер,драма,Вирве Аруоя,СССР,1960,tt1921041
"Акт убийства (фильм, 1948)",Фильм нуар,Майкл Гордон,США,1948,tt0040072
Акт убийства,документальный исторический,Джошуа Оппенхаймер Кристин Цинн (сорежиссёр) Анонимные сорежиссёры,Великобритания Дания Норвегия,2012,tt2375605
"Акт насилия (фильм, 1948)",Фильм нуар Драма,Фред Циннеман,США,1948,tt0041088
Акт агрессии (фильм),криминальный фильм драма,Жерар Пирес,Франция Италия,1975,tt0072618
"Акт (фильм, 1993)",мелодрама и детективный фильм,Александр Рогожкин,Россия,1993,tt0280392
Аксели и Элина,"драма , исторический",Эдвин Лайне,Финляндия,1970,tt0132676
Акселератка,эксцентрическая комедия,Алексей Коренев,СССР,1987,tt0092525
